id,has_active_intent,active_deliverable,active_intent_type,active_template_id,expected_rule_kind,expected_ambiguity_type,expected_result_kind,expected_continuation_mode,expected_intent_type,prompt
intent-01,false,-,-,-,definite_intent,-,plan,new_intent,generate,"帮我把这几份材料整理成一版通用方案"
intent-02,true,产品方案,generate,generate_v1,definite_intent,-,plan,continue_active,-,"继续"
intent-03,true,产品方案,generate,generate_v1,definite_intent,-,plan,continue_active,revise,"再改一版，更偏金融行业"
intent-04,true,产品方案,generate,generate_v1,definite_intent,-,plan,clarify,analyze,"基于刚才那个，顺便做一个报价测算"
intent-05,true,产品方案,generate,generate_v1,definite_non_intent,-,non_intent,non_intent,-,"/plan"
intent-06,false,-,-,-,definite_non_intent,-,non_intent,non_intent,-,"5*6"
intent-07,true,产品方案,generate,generate_v1,definite_intent,-,plan,continue_active,generate,"这里还有一份竞品资料，也一起参考"
intent-08,true,产品方案,generate,generate_v1,definite_non_intent,-,non_intent,non_intent,-,"好的。"
intent-09,false,-,-,-,definite_non_intent,-,non_intent,non_intent,-,"分析ChatGPT最近一月的产品更新动态"
intent-10,false,-,-,-,definite_non_intent,-,non_intent,non_intent,-,"分析最近一个月 OpenAI 产品更新"
intent-11,false,-,-,-,ambiguous,verb_no_output,non_intent,non_intent,-,"帮我分析一下这个方向"
intent-12,false,-,-,-,ambiguous,material_no_directive,non_intent,non_intent,-,"基于这些内容看看有什么机会"
